evaluations,fitness,sigma
400,0.8962682571377584,0.7238699344287677
800,0.8962682571377584,0.6549846024623854
1200,0.9157142711332498,0.5926545765453742
1600,0.9157142711332498,0.5362560368285113
2000,0.9192446260536015,0.4852245277701066
2400,0.9269406816639869,0.439049308875221
2800,1.3125234735583264,0.3972682430331274
3200,1.3125234735583264,0.3594631712937771
3600,1.3125234735583264,0.3252557277924791
4000,1.3125234735583264,0.29430355293715366
4400,1.3125234735583264,0.26629686695846344
4800,1.3125234735583264,0.2409553695297615
5200,1.3125234735583264,0.2180254344272099
5600,1.3125234735583264,0.197277571153285
6000,1.3125234735583264,0.1785041281187437
6400,1.3125234735583264,0.16151721439572417
6800,1.3125234735583264,0.14614681924218756
7200,1.3125234735583264,0.1322391105772691
7600,1.3125234735583264,0.1196548953781079
8000,1.3125234735583264,0.10826822658929001
8400,1.3125234735583264,0.0979651426023854
8800,1.3125234735583264,0.08864252668986698
9200,1.3125234735583264,0.08020707497824286
9600,1.3125234735583264,0.07257436263152989
10000,1.3125234735583264,0.06566799889911892
10400,1.3125234735583264,0.059418862571466995
10800,1.3125234735583264,0.05376441019179971
11200,1.3125234735583264,0.04864805010017427
11600,1.3125234735583264,0.044018576045125685
12000,1.3125234735583264,0.03982965469429106
12400,1.3125234735583264,0.036039361914846156
12800,1.3125234735583264,0.03260976318269289
13200,1.3125234735583264,0.029506533920991927
13600,1.3125234735583264,0.02669861596826079
14000,1.3125234735583264,0.024157906737854732
14400,1.3125234735583264,0.021858977957833984
14800,1.3125234735583264,0.019778821176271454
15200,1.3125234735583264,0.01789661748493242
15600,1.3125234735583264,0.01619352915664346
16000,1.3125234735583264,0.014652511110987297
16400,1.3125234735583264,0.013258140321408955
16800,1.3125234735583264,0.011996461456382125
17200,1.3125234735583264,0.010854847209760708
17600,1.3125234735583264,0.01
18000,1.3125234735583264,0.01
18400,1.3125234735583264,0.01
18800,1.3125234735583264,0.01
19200,1.3125234735583264,0.01
19600,1.3125234735583264,0.01
20000,1.3125234735583264,0.01
